"Name","Value","Units","Date","Type:"
"Biceps - Left","34.0","cm","Dec 17, 2022","Length"
"Biceps - Right","34.5","cm","Dec 17, 2022","Length"
"Calves - Left","41.0","cm","Dec 17, 2022","Length"
"Calves - Right","41.0","cm","Dec 17, 2022","Length"
"Chest","110.0","cm","Dec 17, 2022","Length"
"Forearms - Left","28.0","cm","Dec 17, 2022","Length"
"Forearms - Right","28.0","cm","Dec 17, 2022","Length"
"Height","172.0","cm","Dec 14, 2022",""
"Height","175.0","cm","Dec 14, 2022",""
"Hips","95.0","cm","Dec 17, 2022","Length"
"Neck","33.0","cm","Dec 17, 2022","Length"
"Thighs - Left","60.0","cm","Dec 17, 2022","Length"
"Thighs - Right","60.0","cm","Dec 17, 2022","Length"
"Waist","85.0","cm","Dec 17, 2022","Length"
"Weight","76.0","kg","Dec 17, 2022","Weight"
