"Name","Value","Units","Date","Type:"
"Biceps - Left","34.0","cm","Dec 17, 2022","Length"
"Biceps - Right","34.5","cm","Dec 17, 2022","Length"
"Calves - Left","41.0","cm","Dec 17, 2022","Length"
"Calves - Right","41.0","cm","Dec 17, 2022","Length"
"Chest","110.0","cm","Dec 17, 2022","Length"
"Forearms - Left","28.0","cm","Dec 17, 2022","Length"
"Forearms - Right","28.0","cm","Dec 17, 2022","Length"
"Height","175.0","cm","Dec 14, 2022",""
"Hips","95.0","cm","Dec 17, 2022","Length"
"Neck","33.0","cm","Dec 17, 2022","Length"
"Thighs - Left","60.0","cm","Dec 17, 2022","Length"
"Thighs - Right","60.0","cm","Dec 17, 2022","Length"
"Waist","85.0","cm","Dec 17, 2022","Length"
"Weight","81.5","kg","Jan 20, 2023","Weight"
"Weight","81.0","kg","Jan 17, 2023","Weight"
"Weight","81.3","kg","Jan 5, 2023","Weight"
"Weight","80.0","kg","Dec 28, 2022","Weight"
"Weight","83.0","kg","Jan 18, 2023","Weight"
"Weight","76.0","kg","Dec 17, 2022","Weight"
