"Date","Workout name","Exercise","Set","Weight","Reps","Distance","Duration","Measurement unit","Notes"
"2022-11-03 16:23:06","full body","Chin Ups","1","","5","","","kg",
"2022-11-03 16:23:06","full body","Chin Ups","2","","2","","","kg",
"2022-11-03 16:23:06","full body","Chin Ups","3","","3","","","kg",
"2022-11-03 16:23:06","full body","Butterfly Machine","1","20","32","","","kg",
"2022-11-03 16:23:06","full body","Butterfly Machine","2","25","14","","","kg",
"2022-11-03 16:23:06","full body","Butterfly Machine","3","25","10","","","kg",
"2022-11-03 16:23:06","full body","Butterfly Machine","4","25","10","","","kg",
"2022-11-03 16:23:06","full body","Cable Bicep Curl","1","25","14","","","kg",
"2022-11-03 16:23:06","full body","Cable Bicep Curl","2","25","8","","","kg",
"2022-11-03 16:23:06","full body","Cable Bicep Curl","3","20","11","","","kg",
"2022-11-03 16:23:06","full body","Cable Bicep Curl","4","20","13","","","kg",
"2022-11-03 16:23:06","full body","Cable Triceps Pushdown","1","25","50","","","kg",
"2022-11-03 16:23:06","full body","Cable Triceps Pushdown","2","35","10","","","kg",
"2022-11-03 16:23:06","full body","Cable Triceps Pushdown","3","30","15","","","kg",
"2022-11-03 16:23:06","full body","Cable Triceps Pushdown","4","30","14","","","kg",
"2022-11-03 16:23:06","full body","Leg Press","1","120","25","","","kg",
"2022-11-03 16:23:06","full body","Leg Press","2","120","14","","","kg",
"2022-11-03 16:23:06","full body","Leg Press","3","120","12","","","kg",
"2022-11-03 16:23:06","full body","Leg Press","4","120","17","","","kg",
"2022-11-03 16:23:06","full body","Crunches","1","","27","","","kg",
"2022-11-03 16:23:06","full body","Crunches","2","","35","","","kg",
"2022-11-03 16:23:06","full body","Crunches","3","","25","","","kg",
"2022-11-03 16:23:06","full body","Crunches","4","","26","","","kg",
"2022-11-04 06:15:07","ombro, dorsal, biceps, panturrilha","Lateral Dumbbell Raises","1","8","20","","","kg",
"2022-11-04 06:15:07","ombro, dorsal, biceps, panturrilha","Lateral Dumbbell Raises","2","8","14","","","kg",
"2022-11-04 06:15:07","ombro, dorsal, biceps, panturrilha","Lateral Dumbbell Raises","3","8","12","","","kg",
"2022-11-04 06:15:07","ombro, dorsal, biceps, panturrilha","Lateral Dumbbell Raises","4","8","10","","","kg",
"2022-11-04 06:15:07","ombro, dorsal, biceps, panturrilha","Seated Cable Rows","1","35","17","","","kg",
"2022-11-04 06:15:07","ombro, dorsal, biceps, panturrilha","Seated Cable Rows","2","40","17","","","kg",
"2022-11-04 06:15:07","ombro, dorsal, biceps, panturrilha","Seated Cable Rows","3","40","14","","","kg",
"2022-11-04 06:15:07","ombro, dorsal, biceps, panturrilha","Seated Cable Rows","4","40","12","","","kg",
"2022-11-04 06:15:07","ombro, dorsal, biceps, panturrilha","Wide Grip Lat Pull Down","1","30","16","","","kg",
"2022-11-04 06:15:07","ombro, dorsal, biceps, panturrilha","Wide Grip Lat Pull Down","2","30","15","","","kg",
"2022-11-04 06:15:07","ombro, dorsal, biceps, panturrilha","Wide Grip Lat Pull Down","3","30","16","","","kg",
"2022-11-04 06:15:07","ombro, dorsal, biceps, panturrilha","Wide Grip Lat Pull Down","4","30","13","","","kg",
"2022-11-04 06:15:07","ombro, dorsal, biceps, panturrilha","Cable Hammer Curl","1","25","15","","","kg",
"2022-11-04 06:15:07","ombro, dorsal, biceps, panturrilha","Cable Hammer Curl","2","25","13","","","kg",
"2022-11-04 06:15:07","ombro, dorsal, biceps, panturrilha","Cable Hammer Curl","3","25","10","","","kg",
"2022-11-04 06:15:07","ombro, dorsal, biceps, panturrilha","Cable Hammer Curl","4","25","13","","","kg",
"2022-11-04 06:15:07","ombro, dorsal, biceps, panturrilha","Seated Calf Raise Machine","1","40","21","","","kg",
"2022-11-04 06:15:07","ombro, dorsal, biceps, panturrilha","Seated Calf Raise Machine","2","40","22","","","kg",
"2022-11-04 06:15:07","ombro, dorsal, biceps, panturrilha","Seated Calf Raise Machine","3","40","20","","","kg",
"2022-11-04 06:15:07","ombro, dorsal, biceps, panturrilha","Seated Calf Raise Machine","4","40","20","","","kg",
"2022-11-04 17:00:11","flexões ","Push Ups","1","","20","","","kg",
"2022-11-07 06:11:06","peito, triceps ","Barbell Bench Press","1","10","18","","","kg",
"2022-11-07 06:11:06","peito, triceps ","Barbell Bench Press","2","15","18","","","kg",
"2022-11-07 06:11:06","peito, triceps ","Barbell Bench Press","3","20","14","","","kg",
"2022-11-07 06:11:06","peito, triceps ","Barbell Bench Press","4","20","13","","","kg",
"2022-11-07 06:11:06","peito, triceps ","Incline Dumbbell Bench Press","1","16","16","","","kg",
"2022-11-07 06:11:06","peito, triceps ","Incline Dumbbell Bench Press","2","16","13","","","kg",
"2022-11-07 06:11:06","peito, triceps ","Incline Dumbbell Bench Press","3","16","12","","","kg",
"2022-11-07 06:11:06","peito, triceps ","Incline Dumbbell Bench Press","4","16","9","","","kg",
"2022-11-07 06:11:06","peito, triceps ","Butterfly Machine","1","20","18","","","kg",
"2022-11-07 06:11:06","peito, triceps ","Butterfly Machine","2","20","10","","","kg",
"2022-11-07 06:11:06","peito, triceps ","Butterfly Machine","3","20","12","","","kg",
"2022-11-07 06:11:06","peito, triceps ","Cable Crossover","1","15","7","","","kg",
"2022-11-07 06:11:06","peito, triceps ","Cable Crossover","2","10","15","","","kg",
"2022-11-07 06:11:06","peito, triceps ","Cable Crossover","3","10","16","","","kg",
"2022-11-07 06:11:06","peito, triceps ","Cable Triceps Pushdown","1","30","18","","","kg",
"2022-11-07 06:11:06","peito, triceps ","Cable Triceps Pushdown","2","35","12","","","kg",
"2022-11-07 06:11:06","peito, triceps ","Cable Triceps Pushdown","3","30","13","","","kg",
"2022-11-07 06:11:06","peito, triceps ","Cable Triceps Pushdown","4","30","13","","","kg",
"2022-11-07 06:11:06","peito, triceps ","Triceps Extensions With Barbell","1","5","15","","","kg",
"2022-11-07 06:11:06","peito, triceps ","Triceps Extensions With Barbell","2","7","10","","","kg",
"2022-11-07 06:11:06","peito, triceps ","Triceps Extensions With Barbell","3","7","10","","","kg",
"2022-11-07 06:11:06","peito, triceps ","Bent Over Two Arm Dumbbell Triceps Extension","1","5","16","","","kg",
"2022-11-07 06:11:06","peito, triceps ","Bent Over Two Arm Dumbbell Triceps Extension","2","5","14","","","kg",
"2022-11-07 06:11:06","peito, triceps ","Bent Over Two Arm Dumbbell Triceps Extension","3","5","14","","","kg",
"2022-11-07 06:11:06","peito, triceps ","Bent Over Two Arm Dumbbell Triceps Extension","4","5","14","","","kg",
"2022-11-13 10:26:57","flexões ","Push Ups","1","","32","","","kg",
"2022-11-14 17:23:53","dorsal, biceps, abdominal ","Wide Grip Lat Pull Down","1","20","35","","","kg",
"2022-11-14 17:23:53","dorsal, biceps, abdominal ","Wide Grip Lat Pull Down","2","30","20","","","kg",
"2022-11-14 17:23:53","dorsal, biceps, abdominal ","Wide Grip Lat Pull Down","3","30","13","","","kg",
"2022-11-14 17:23:53","dorsal, biceps, abdominal ","Wide Grip Lat Pull Down","4","30","11","","","kg",
"2022-11-14 17:23:53","dorsal, biceps, abdominal ","Seated Cable Rows","1","30","19","","","kg",
"2022-11-14 17:23:53","dorsal, biceps, abdominal ","Seated Cable Rows","2","35","13","","","kg",
"2022-11-14 17:23:53","dorsal, biceps, abdominal ","Seated Cable Rows","3","35","11","","","kg",
"2022-11-14 17:23:53","dorsal, biceps, abdominal ","Seated Cable Rows","4","35","14","","","kg",
"2022-11-14 17:23:53","dorsal, biceps, abdominal ","Bent Over Barbell Row","1","20","10","","","kg",
"2022-11-14 17:23:53","dorsal, biceps, abdominal ","Bent Over Barbell Row","2","15","12","","","kg",
"2022-11-14 17:23:53","dorsal, biceps, abdominal ","Bent Over Barbell Row","3","15","11","","","kg",
"2022-11-14 17:23:53","dorsal, biceps, abdominal ","Bent Over Barbell Row","4","15","10","","","kg",
"2022-11-14 17:23:53","dorsal, biceps, abdominal ","One Arm Dumbbell Row","1","14","10","","","kg",
"2022-11-14 17:23:53","dorsal, biceps, abdominal ","One Arm Dumbbell Row","2","14","10","","","kg",
"2022-11-14 17:23:53","dorsal, biceps, abdominal ","One Arm Dumbbell Row","3","14","10","","","kg",
"2022-11-14 17:23:53","dorsal, biceps, abdominal ","One Arm Dumbbell Row","4","14","10","","","kg",
"2022-11-14 17:23:53","dorsal, biceps, abdominal ","Alternating Dumbbell Bicep Curls","1","10","22","","","kg",
"2022-11-14 17:23:53","dorsal, biceps, abdominal ","Alternating Dumbbell Bicep Curls","2","10","10","","","kg",
"2022-11-14 17:23:53","dorsal, biceps, abdominal ","Alternating Dumbbell Bicep Curls","3","9","10","","","kg",
"2022-11-14 17:23:53","dorsal, biceps, abdominal ","Alternating Dumbbell Bicep Curls","4","8","12","","","kg",
"2022-11-14 17:23:53","dorsal, biceps, abdominal ","Cable Hammer Curl","1","35","7","","","kg",
